Entity,actual_yield,crop
Netherlands,7.03,barley_yield
Libya,0.51,barley_yield
Niger,23.46,cassava_yield
Guatemala,1.02,cassava_yield
Australia,4.48,cotton_yield
Indonesia,0.08,cotton_yield
Israel,4.19,groundnut_yield
Mozambique,0.26,groundnut_yield
Jordan,11,maize_yield
Zimbabwe,0.61,maize_yield
Croatia,2.01,millet_yield
Greece,2.01,millet_yield
Turkey,2.01,millet_yield
Austria,2.01,millet_yield
Bulgaria,2.01,millet_yield
France,2.01,millet_yield
Zimbabwe,0.17,millet_yield
Colombia,19.79,oilpalm_yield
Suriname,2.43,oilpalm_yield
United States,44.22,potato_yield
Eritrea,1.21,potato_yield
United Kingdom,3.45,rapeseed_yield
Tajikistan,0.54,rapeseed_yield
Australia,9.38,rice_yield
Mozambique,0.59,rice_yield
Congo,0.59,rice_yield
Luxembourg,5.59,rye_yield
Ecuador,0.63,rye_yield
Italy,5.28,sorghum_yield
Namibia,0.19,sorghum_yield
Italy,3.24,soybean_yield
Tajikistan,0.34,soybean_yield
France,75.17,sugarbeet_yield
Ecuador,6.2,sugarbeet_yield
Egypt,111.33,sugarcane_yield
Cameroon,9.44,sugarcane_yield
Switzerland,2.62,sunflower_yield
Algeria,0.45,sunflower_yield
Netherlands,8.5,wheat_yield
Ireland,8.5,wheat_yield
Honduras,0.56,wheat_yield
